SCHOOL_ID,SCHOOL_NM,the_geom,UNIT_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610066,MCDADE,POINT (-87.61926937994996 41.73454903171225),4750,8801 S INDIANA AVE,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6192693805,41.7345490325
610093,NEIL,POINT (-87.62098839908636 41.73840575373936),5060,8555 S MICHIGAN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6209883993,41.7384057545
610342,SABIN,POINT (-87.68304876013809 41.9067746605659),7790,2216 W HIRSCH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6830487596,41.9067746614
610320,DE DUPREY,POINT (-87.69301794669208 41.90665338762952),7510,2620 W HIRSCH ST,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6930179472,41.906653388
610401,CLEMENTE AA,POINT (-87.6869612332826 41.9026250689864),7980,1147 N WESTERN AVE,HS,"9, 10",High School,-87.6869612329,41.9026250698
610499,COLLINS ACADEMY HIGH SCHOOL (AUSL),POINT (-87.70209561603804 41.864140639200215),1045,1313 S SACRAMENTO DR,HS,9,High School,-87.7020956156,41.8641406404
400058,NORTH LAWNDALE CHARTER HS,POINT (-87.70793388768053 41.85851933598479),1105,1616 S SPAULDING AVE,HS,"9, 10, 11, 12",Charter,-87.7079338882,41.8585193366
400059,NORTH LAWNDALE COLLEGE PREP,POINT (-87.70209561603804 41.864140639200215),1106,1313 S SACRAMENTO DR,HS,9,Charter,-87.7020956156,41.8641406404
609704,FARRAGUT HS,POINT (-87.70876066478658 41.84855888563044),1300,2345 S CHRISTIANA AVE,HS,"9, 10, 11, 12",High School,-87.7087606653,41.8485588868
609763,COLLINS HS,POINT (-87.70209561603804 41.864140639200215),1880,1313 S SACRAMENTO DR,HS,"11, 12",High School,-87.7020956156,41.8641406404
609826,CASTELLANOS,POINT (-87.71487197321883 41.845450774260414),2510,2524 S CENTRAL PARK AVE,MS,"4, 5, 6, 7, 8",Elementary School,-87.7148719731,41.8454507751
609834,LITTLE VILLAGE ES,POINT (-87.71726392892045 41.84369939265834),2590,2620 S LAWNDALE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7172639292,41.8436993931
609920,KANOON,POINT (-87.70516711778778 41.85077072313781),3370,2233 S KEDZIE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7051671176,41.8507707236
609921,TELPOCHCALLI,POINT (-87.69662970242787 41.847909746704545),3380,2832 W 24TH BLVD,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6966297029,41.8479097479
609870,CORKERY,POINT (-87.73113782701195 41.845603341158885),2910,2510 S KILDARE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7311378276,41.8456033415
609873,CROWN,POINT (-87.712415108217 41.852664514530666),2940,2128 S SAINT LOUIS AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7124151084,41.8526645155
609938,GARY,POINT (-87.71869526215886 41.83702400331535),3520,3740 W 31ST ST,MS,"PK, 3, 4, 5, 6, 7, 8",Elementary School,-87.7186952625,41.8370240037
609950,DE DOMINGUEZ,POINT (-87.71713528171094 41.83879125226334),3630,3000 S LAWNDALE AVE,ES,"PK, K, 1, 2",Elementary School,-87.7171352815,41.8387912529
609966,HAMMOND,POINT (-87.69624407500673 41.85276029593451),3750,2819 W 21ST PL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6962440748,41.852760297
609973,ZAPATA,POINT (-87.73425830048933 41.841394888528654),3820,2728 S KOSTNER AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.734258301,41.841394889
609991,HERZL,POINT (-87.71825669927122 41.862323372642436),3970,3711 W DOUGLAS BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7182566995,41.8623233733
610005,"HUGHES, C",POINT (-87.73177833945729 41.86055889571705),4110,4247 W 15TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7317783397,41.8605588967
610017,SAUCEDO,POINT (-87.69731444465745 41.847899564498164),4250,2850 W 24TH BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6973144452,41.8478995652
610024,CARDENAS,POINT (-87.71607244733615 41.84848699068199),4320,2345 S MILLARD AVE,ES,"PK, K, 1, 2, 3",Elementary School,-87.7160724476,41.8484869915
610431,CATALYST,POINT (-87.70793388768053 41.85851933598479),4370,1616 S SPAULDING AVE,ES,"3, 4, 5, 6",Charter,-87.7079338882,41.8585193366
610034,LAWNDALE,POINT (-87.71295583086274 41.86291886860581),4430,3500 W DOUGLAS BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7129558303,41.8629188695
610392,WORLD LANGUAGE HS,POINT (-87.7341032935916 41.8360359309467),4460,3120 S KOSTNER AVE,HS,"9, 10, 11",High School,-87.7341032938,41.8360359317
610056,MASON,POINT (-87.73047009505497 41.856920861694675),4650,4217 W 18TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.730470095,41.8569208624
610063,MCCORMICK,POINT (-87.70624506539484 41.84226828738157),4720,2712 S SAWYER AVE,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.7062450648,41.842268288
610123,PENN,POINT (-87.72124461772512 41.858387303483205),5370,1616 S AVERS AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7212446177,41.8583873042
